idx,number,title,content_len,text_hash,content_sample
147,133,ТК РФ Статья 133. Установление минимального размера оплаты труда,2771,501e90fe11c7d8edf08858f6ca1a86345603c5d45ce1db0c1d7c3556fd0f051b,"ТК РФ Статья 133. Установление минимального размера оплаты труда

(в ред. Федерального закона от 20.04.2007 N 54-ФЗ)

(см. текст в предыдущей редакции)

(в ред. Федерального закона от 22.08.2004 N 122"
148,133,ТК РФ Статья 133.1. Установление размера минимальной заработной платы в субъекте Российской Федерации,5911,ddcb46422fbbdb77d020ac5fcc776aab86f106f9cb88f2ac875e2163d3675135,"ТК РФ Статья 133.1. Установление размера минимальной заработной платы в субъекте Российской Федерации

(введена Федеральным законом от 20.04.2007 N 54-ФЗ)

Перспективы и риски споров в суде общей юрис"
173,158,ТК РФ Статья 158. Оплата труда при освоении новых производств (продукции),251,2b145c9fed5c2542b0ff56430faf749a9d4bbcda3da1e9b48098da4769caba08,"ТК РФ Статья 158. Оплата труда при освоении новых производств (продукции)

Коллективным договором или трудовым договором может быть предусмотрено сохранение за работником его прежней заработной платы "
174,158,"Как ведется противодействие формированию просроченной задолженности по зарплате
ТК РФ Статья 158.1. Основные направления противодействия формированию просроченной задолженности по заработной плате в Российской Федерации",2808,4e0d96911710a14122be4b13248526ae79d798b7cdd63a1b08833a412af056b2,"Как ведется противодействие формированию просроченной задолженности по зарплате
ТК РФ Статья 158.1. Основные направления противодействия формированию просроченной задолженности по заработной плате в Р"
184,168,"ТК РФ Статья 168. Возмещение расходов, связанных со служебной командировкой",2112,5c39c5dab08c1faa6e6d06393872f75754481b787ac256dd7584549b6a9ea4aa,"ТК РФ Статья 168. Возмещение расходов, связанных со служебной командировкой

Путеводитель по кадровым вопросам. Вопросы применения ст. 168 ТК РФ

Развернуть

В случае направления в служебную командиро"
185,168,"ТК РФ Статья 168.1. Возмещение расходов, связанных со служебными поездками работников, постоянная работа которых осуществляется в пути или имеет разъездной характер, а также с работой в полевых условиях, работами экспедиционного характера",1390,04875bb85366ce9c35d88c634689bd7193dadc206cd145586020d2729f543167,"ТК РФ Статья 168.1. Возмещение расходов, связанных со служебными поездками работников, постоянная работа которых осуществляется в пути или имеет разъездной характер, а также с работой в полевых услови"
190,173,"ТК РФ Статья 173. Гарантии и компенсации работникам, совмещающим работу с получением высшего образования по программам бакалавриата, программам специалитета или программам магистратуры, и работникам, поступающим на обучение по указанным образовательным программам",4305,897cb1f753ea309a1793366cedeb8698654d2ddf84fced5a63de455975f3c95f,"ТК РФ Статья 173. Гарантии и компенсации работникам, совмещающим работу с получением высшего образования по программам бакалавриата, программам специалитета или программам магистратуры, и работникам, "
191,173,"ТК РФ Статья 173.1. Гарантии и компенсации работникам, совмещающим работу с получением высшего образования - подготовки кадров высшей квалификации, а также работникам, допущенным к соисканию ученой степени кандидата наук или доктора наук",2046,202874c06331f2e62ae0a33cec35bdd98580c8f5200c1f748d80fca38a15973b,"ТК РФ Статья 173.1. Гарантии и компенсации работникам, совмещающим работу с получением высшего образования - подготовки кадров высшей квалификации, а также работникам, допущенным к соисканию ученой ст"
199,181,"ТК РФ Статья 181. Гарантии руководителю организации, его заместителям и главному бухгалтеру при расторжении трудового договора в связи со сменой собственника имущества организации",819,1fe1ddb00cc7509c0ea8b5fa313b9979cd4b24d1f981a9bf8284eee3004e3a64,"ТК РФ Статья 181. Гарантии руководителю организации, его заместителям и главному бухгалтеру при расторжении трудового договора в связи со сменой собственника имущества организации

(в ред. Федеральног"
200,181,"ТК РФ Статья 181.1. Выходные пособия, компенсации и иные выплаты работникам в отдельных случаях прекращения трудовых договоров",1108,c4b9d47f26313ebcadf11f3a43e9064a82522b35787e3341a23eec031de35bf0,"ТК РФ Статья 181.1. Выходные пособия, компенсации и иные выплаты работникам в отдельных случаях прекращения трудовых договоров

(введена Федеральным законом от 02.04.2014 N 56-ФЗ)

КонсультантПлюс: пр"
